Input,Output,Grid,Which,Index
3_1,3_1#5_1,"[[10, 25, 13, 18, 38, 36, 23, 16, 33, 28, 32, 20, 34, 6, 39, 35, 21, 3, 40, 1, 41, 4, 19, 31, 37, 7, 14, 2, 11, 0, 12, 17, 8, 29, 27, 30, 15, 26, 9, 5, 22, 24], [13, 5, 38, 10, 41, 26, 18, 23, 36, 16, 34, 40, 33, 8, 35, 32, 20, 28, 37, 4, 6, 3, 17, 19, 39, 31, 11, 1, 21, 22, 9, 14, 30, 27, 12, 29, 2, 24, 7, 0, 15, 25]]",r,30
3_1,3_1#5_1m,"[[45, 31, 23, 40, 3, 7, 42, 6, 44, 22, 26, 46, 47, 38, 8, 4, 11, 18, 25, 14, 10, 9, 17, 33, 32, 0, 12, 13, 16, 27, 34, 2, 43, 29, 28, 19, 1, 15, 21, 36, 39, 37, 5, 41, 24, 20, 30, 35], [3, 35, 26, 42, 6, 5, 45, 7, 40, 46, 38, 0, 4, 43, 31, 2, 8, 11, 17, 34, 12, 16, 18, 32, 30, 28, 13, 19, 10, 33, 27, 9, 36, 47, 29, 14, 20, 21, 25, 15, 37, 41, 22, 1, 23, 44, 24, 39]]",r,30
3_1,3_1#5_2,"[[31, 26, 28, 22, 19, 0, 23, 24, 8, 39, 10, 14, 33, 20, 16, 1, 35, 34, 38, 6, 13, 40, 41, 17, 15, 2, 18, 12, 7, 9, 11, 5, 36, 29, 4, 37, 25, 27, 32, 30, 21, 42, 3], [26, 36, 21, 25, 20, 6, 42, 9, 10, 0, 24, 13, 35, 39, 18, 38, 23, 33, 5, 34, 8, 7, 40, 19, 17, 41, 12, 15, 32, 1, 22, 2, 37, 27, 14, 3, 16, 11, 29, 31, 30, 28, 4]]",c,25
3_1,3_1#5_2m,"[[43, 42, 21, 27, 39, 20, 11, 26, 19, 8, 9, 16, 32, 22, 18, 29, 35, 44, 31, 48, 33, 51, 37, 40, 49, 45, 34, 50, 47, 36, 24, 7, 17, 5, 6, 4, 10, 30, 52, 41, 15, 3, 14, 1, 0, 12, 23, 46, 28, 38, 25, 53, 2, 13], [42, 52, 51, 44, 20, 22, 39, 28, 18, 9, 0, 8, 33, 19, 16, 21, 37, 35, 29, 45, 31, 48, 32, 36, 50, 40, 30, 11, 49, 34, 27, 47, 15, 41, 5, 6, 17, 10, 3, 38, 7, 4, 13, 12, 26, 14, 24, 23, 25, 46, 53, 2, 1, 43]]",c,39
3_1,8_4m,"[[9, 6, 50, 26, 0, 52, 3, 8, 51, 38, 20, 39, 29, 27, 19, 14, 40, 41, 44, 43, 21, 25, 13, 35, 46, 32, 17, 22, 31, 34, 37, 36, 42, 53, 30, 33, 1, 11, 18, 49, 16, 48, 5, 45, 24, 15, 47, 10, 23, 12, 2, 28, 4, 7], [12, 4, 3, 28, 52, 51, 7, 6, 50, 27, 19, 29, 46, 20, 44, 48, 39, 40, 43, 41, 17, 13, 14, 34, 8, 35, 22, 49, 32, 30, 31, 37, 36, 1, 33, 53, 47, 42, 16, 0, 24, 45, 15, 26, 25, 11, 38, 5, 21, 10, 18, 23, 2, 9]]",r,46
3_1,8_9,"[[16, 5, 24, 4, 32, 1, 34, 33, 37, 36, 23, 30, 22, 25, 38, 29, 19, 31, 3, 26, 2, 14, 27, 20, 35, 7, 6, 9, 18, 11, 13, 8, 12, 10, 0, 21, 28, 15, 17], [5, 2, 4, 0, 28, 30, 3, 34, 32, 37, 29, 36, 31, 23, 33, 1, 14, 38, 19, 24, 6, 27, 9, 25, 26, 8, 7, 35, 20, 22, 17, 11, 10, 13, 18, 15, 12, 16, 21]]",c,34
3_1#3_1,3_1#4_1,"[[9, 15, 11, 12, 6, 3, 13, 17, 14, 19, 2, 0, 18, 8, 7, 5, 16, 1, 10, 4], [18, 1, 9, 15, 11, 12, 19, 2, 17, 3, 0, 13, 4, 10, 8, 6, 14, 5, 16, 7]]",r,8
3_1#3_1,3_1#5_2m,"[[13, 3, 14, 17, 10, 0, 6, 4, 5, 7, 1, 16, 15, 2, 9, 8, 12, 11], [15, 10, 1, 2, 6, 16, 4, 5, 7, 8, 0, 9, 12, 3, 11, 13, 14, 17]]",r,13
3_1#3_1,3_1#5_2m,"[[19, 10, 42, 17, 29, 36, 8, 41, 22, 35, 33, 49, 1, 51, 18, 24, 30, 44, 27, 46, 3, 20, 5, 23, 2, 37, 28, 47, 9, 12, 13, 7, 26, 31, 32, 45, 48, 25, 14, 15, 39, 40, 16, 21, 11, 50, 0, 6, 34, 43, 4, 38], [10, 17, 37, 15, 5, 33, 1, 38, 27, 41, 35, 44, 51, 18, 20, 30, 29, 9, 24, 48, 23, 46, 3, 16, 28, 36, 21, 22, 12, 13, 7, 8, 42, 49, 26, 43, 39, 32, 25, 14, 40, 45, 11, 31, 50, 0, 6, 4, 2, 47, 19, 34]]",r,1
3_1#3_1m,3_1#4_1,"[[3, 0, 5, 16, 4, 13, 12, 11, 9, 6, 7, 17, 15, 14, 10, 8, 2, 1], [7, 16, 4, 1, 13, 9, 14, 12, 11, 3, 0, 8, 6, 2, 15, 10, 17, 5]]",r,0
3_1#3_1m,8_5,"[[7, 1, 3, 6, 9, 5, 8, 17, 2, 15, 16, 13, 10, 11, 12, 4, 0, 14], [3, 9, 4, 1, 11, 7, 16, 13, 6, 17, 12, 14, 15, 10, 0, 2, 5, 8]]",r,7
3_1#3_1m,3_1#5_2,"[[11, 18, 19, 20, 12, 17, 16, 15, 8, 2, 7, 21, 6, 4, 13, 5, 9, 14, 10, 3, 0, 1], [19, 16, 18, 2, 17, 20, 15, 10, 1, 3, 8, 11, 7, 13, 14, 0, 6, 21, 12, 5, 9, 4]]",r,17
3_1#3_1m,8_19,"[[0, 11, 13, 3, 12, 14, 2, 6, 15, 16, 10, 9, 21, 18, 17, 8, 4, 1, 5, 7, 19, 20], [7, 13, 1, 17, 18, 2, 3, 14, 16, 10, 8, 19, 11, 15, 20, 9, 21, 5, 6, 4, 0, 12]]",r,14
3_1#4_1,0_1,"[[14, 17, 13, 8, 19, 18, 6, 9, 3, 0, 16, 5, 7, 11, 12, 15, 10, 2, 1, 4], [12, 8, 15, 3, 6, 19, 5, 10, 0, 16, 9, 17, 14, 18, 4, 11, 7, 13, 2, 1]]",r,0
3_1#4_1,4_1#4_1,"[[15, 16, 5, 9, 0, 6, 17, 14, 8, 12, 7, 4, 1, 2, 11, 3, 10, 13, 18], [18, 6, 14, 10, 12, 7, 15, 13, 17, 3, 4, 0, 2, 16, 1, 8, 11, 9, 5]]",r,7
3_1#4_1,3_1#5_2,"[[10, 12, 11, 0, 2, 3, 14, 13, 6, 15, 9, 8, 7, 17, 18, 19, 21, 16, 20, 5, 1, 4], [9, 11, 10, 6, 19, 20, 16, 17, 15, 14, 18, 7, 3, 8, 13, 21, 0, 12, 5, 4, 2, 1]]",r,9
3_1#4_1,3_1#5_2m,"[[33, 6, 75, 34, 62, 73, 61, 7, 44, 67, 0, 65, 26, 9, 25, 11, 24, 17, 5, 70, 72, 3, 2, 4, 69, 68, 74, 19, 30, 16, 12, 71, 31, 14, 10, 1, 29, 15, 47, 27, 32, 39, 40, 35, 66, 45, 58, 41, 42, 59, 63, 43, 36, 55, 18, 54, 52, 60, 51, 48, 46, 37, 50, 49, 21, 53, 22, 20, 38, 57, 13, 64, 56, 8, 28, 23], [34, 75, 73, 30, 56, 33, 62, 6, 61, 9, 5, 69, 65, 11, 23, 0, 17, 19, 44, 72, 4, 68, 3, 2, 70, 74, 1, 35, 71, 14, 16, 27, 47, 15, 8, 12, 31, 10, 41, 29, 54, 40, 32, 36, 64, 39, 38, 42, 43, 60, 59, 45, 63, 52, 13, 55, 48, 66, 58, 46, 49, 21, 53, 50, 22, 51, 20, 18, 37, 28, 24, 67, 57, 25, 26, 7]]",c,10
3_1#5_1,3_1#5_1m,"[[25, 0, 19, 21, 43, 48, 18, 2, 16, 30, 20, 14, 17, 36, 32, 15, 33, 23, 31, 27, 12, 37, 29, 35, 34, 28, 46, 11, 42, 47, 44, 9, 40, 41, 6, 10, 4, 8, 3, 38, 7, 45, 39, 13, 5, 22, 24, 26, 49, 1], [36, 5, 22, 18, 45, 1, 49, 10, 15, 12, 2, 30, 16, 33, 28, 23, 32, 27, 42, 20, 17, 35, 25, 29, 31, 34, 44, 47, 43, 46, 4, 41, 37, 40, 13, 9, 39, 19, 6, 7, 8, 11, 38, 14, 3, 26, 21, 24, 48, 0]]",r,35
3_1#5_1,8_17,"[[45, 42, 3, 53, 7, 49, 5, 12, 10, 30, 26, 29, 25, 8, 16, 1, 28, 0, 18, 19, 20, 22, 34, 52, 11, 4, 41, 21, 37, 32, 47, 33, 35, 24, 44, 43, 14, 40, 54, 36, 13, 27, 23, 38, 39, 31, 15, 17, 6, 50, 46, 9, 51, 48, 2, 55], [42, 48, 2, 55, 3, 7, 53, 5, 8, 29, 25, 26, 13, 12, 28, 52, 18, 31, 15, 20, 22, 1, 40, 41, 30, 21, 32, 19, 24, 33, 45, 35, 37, 27, 11, 47, 6, 16, 44, 34, 14, 23, 51, 39, 43, 36, 17, 46, 10, 38, 50, 0, 9, 54, 4, 49]]",r,16
3_1#5_1,6_3,"[[45, 14, 43, 36, 35, 24, 52, 42, 44, 51, 39, 15, 17, 11, 16, 29, 27, 26, 23, 22, 31, 25, 37, 4, 50, 3, 46, 47, 41, 38, 7, 32, 33, 30, 8, 9, 12, 2, 6, 49, 13, 0, 1, 18, 21, 40, 19, 20, 34, 48, 5, 28, 10], [14, 13, 42, 34, 43, 52, 44, 40, 15, 3, 11, 39, 51, 45, 20, 26, 23, 27, 24, 29, 22, 36, 35, 12, 41, 33, 47, 2, 38, 37, 8, 30, 32, 31, 9, 4, 6, 0, 21, 50, 7, 49, 10, 1, 19, 28, 18, 25, 48, 46, 16, 17, 5]]",r,1
3_1#5_2,0_1,"[[45, 0, 28, 35, 34, 4, 2, 12, 24, 14, 21, 27, 8, 26, 49, 53, 19, 3, 31, 32, 23, 25, 52, 51, 1, 29, 7, 9, 47, 13, 41, 40, 16, 22, 5, 11, 10, 39, 38, 15, 43, 36, 6, 17, 50, 18, 37, 46, 20, 33, 30, 42, 48, 44], [44, 35, 7, 46, 4, 2, 0, 3, 16, 12, 26, 24, 1, 25, 53, 51, 21, 19, 32, 34, 31, 23, 50, 52, 29, 27, 33, 47, 41, 9, 40, 22, 14, 17, 13, 15, 11, 38, 36, 8, 49, 37, 5, 18, 6, 20, 43, 48, 28, 10, 39, 45, 42, 30]]",c,27
4_1,5_2,"[[25, 51, 50, 31, 12, 36, 7, 28, 29, 34, 35, 32, 1, 53, 6, 8, 2, 20, 5, 3, 4, 11, 16, 17, 24, 46, 18, 14, 49, 33, 9, 55, 40, 37, 41, 19, 13, 47, 15, 44, 39, 27, 26, 48, 45, 43, 0, 23, 54, 52, 42, 22, 21, 30, 38, 10], [38, 50, 49, 25, 48, 31, 1, 34, 28, 37, 36, 35, 4, 51, 5, 10, 8, 53, 3, 2, 11, 6, 9, 16, 20, 44, 24, 18, 41, 27, 33, 14, 46, 55, 47, 13, 7, 40, 17, 15, 32, 26, 19, 45, 52, 42, 21, 43, 0, 54, 39, 23, 22, 29, 30, 12]]",r,23
4_1,6_3,"[[25, 51, 50, 31, 12, 36, 7, 28, 29, 34, 35, 32, 1, 53, 6, 8, 2, 20, 5, 3, 4, 11, 16, 17, 24, 46, 18, 14, 49, 33, 9, 55, 40, 37, 41, 19, 13, 47, 15, 44, 39, 27, 26, 48, 45, 43, 0, 23, 54, 52, 42, 22, 21, 30, 38, 10], [38, 50, 49, 25, 48, 31, 1, 34, 28, 37, 36, 35, 4, 51, 5, 10, 8, 53, 3, 2, 11, 6, 9, 16, 20, 44, 24, 18, 41, 27, 33, 14, 46, 55, 47, 13, 7, 40, 17, 15, 32, 26, 19, 45, 52, 42, 21, 43, 0, 54, 39, 23, 22, 29, 30, 12]]",r,2
4_1,7_1,"[[32, 21, 23, 38, 4, 26, 0, 37, 39, 33, 1, 29, 31, 36, 8, 5, 30, 17, 19, 11, 18, 27, 14, 20, 12, 15, 16, 10, 22, 13, 7, 2, 6, 24, 3, 9, 35, 28, 25, 34], [26, 1, 0, 2, 38, 29, 4, 36, 37, 31, 39, 35, 30, 25, 28, 18, 22, 32, 12, 7, 19, 23, 11, 27, 16, 14, 15, 8, 24, 10, 17, 5, 9, 20, 6, 13, 34, 21, 33, 3]]",r,4
4_1,7_4,"[[15, 19, 22, 49, 47, 27, 28, 51, 43, 8, 25, 38, 33, 34, 31, 52, 44, 40, 37, 42, 20, 1, 14, 21, 45, 7, 2, 50, 30, 39, 13, 10, 26, 3, 6, 18, 48, 24, 9, 29, 16, 11, 35, 17, 36, 41, 0, 4, 5, 23, 32, 46, 12], [12, 16, 19, 23, 46, 41, 47, 22, 37, 49, 28, 43, 38, 31, 27, 8, 48, 42, 40, 44, 14, 20, 15, 24, 39, 51, 7, 2, 34, 10, 30, 13, 45, 9, 3, 6, 50, 29, 11, 26, 18, 17, 36, 5, 33, 0, 1, 52, 4, 32, 21, 35, 25]]",r,6
4_1,7_5,"[[42, 53, 25, 26, 13, 38, 14, 54, 35, 33, 6, 8, 7, 2, 43, 44, 51, 16, 36, 11, 12, 19, 21, 15, 46, 20, 22, 52, 32, 34, 23, 1, 3, 5, 28, 9, 10, 27, 30, 29, 24, 31, 45, 49, 18, 17, 37, 40, 4, 55, 39, 0, 41, 50, 48, 47], [41, 0, 26, 13, 14, 46, 54, 12, 39, 35, 2, 9, 6, 8, 44, 7, 55, 19, 43, 16, 11, 21, 22, 52, 34, 23, 20, 51, 36, 32, 15, 5, 1, 10, 30, 3, 27, 28, 29, 24, 40, 45, 47, 50, 25, 18, 17, 37, 33, 4, 53, 31, 38, 42, 49, 48]]",r,29
4_1,8_1,"[[14, 15, 24, 33, 37, 34, 11, 29, 21, 18, 20, 32, 23, 36, 10, 13, 2, 4, 12, 0, 35, 6, 7, 17, 8, 16, 19, 26, 38, 9, 1, 31, 5, 27, 3, 28, 22, 30, 25], [22, 20, 33, 37, 34, 30, 10, 17, 11, 21, 18, 36, 19, 29, 13, 28, 4, 23, 35, 1, 0, 8, 15, 16, 9, 6, 24, 14, 2, 12, 7, 38, 32, 31, 5, 27, 3, 25, 26]]",r,24
